member_name,member_number
"DRIVEWEALTH, LLC",2402
EDWARD D. JONES & CO.,0057
"EQUINITI TRUST COMPANY, LLC",3920
"ETC BROKERAGE SERVICES, LLC",3505
FANNIE MAE,2306
FEDERAL HOME LOAN MORTGAGE CORPORATION,2391
FEDERAL RESERVE BANK OF NEW YORK,3000
FHN FINANCIAL SECURITIES CORP.,0202
FIDUCIARY TRUST COMPANY,2126
"FIFTH THIRD BANK, NATIONAL ASSOCIATION",2116
FIRST HORIZON BANK,2445
"FIRST TRUST PORTFOLIOS, L.P.",8244
"FMSBONDS, INC.",5217
"FOLIO INVESTMENTS, INC.",0728
FORTIS BANK,1898
FROST BANK,2053
FUTU CLEARING INC.,4272
"GLENMEDE TRUST COMPANY, N.A. (THE)",2139
GOLDMAN SACHS & CO. LLC,0005
GOLDMAN SACHS BANK USA,2941
GOLDMAN SACHS INTERNATIONAL,5208
GREEN PIER FINTECH LLC,3018
"GUGGENHEIM FUNDS DISTRIBUTORS, LLC",0526
"GUGGENHEIM SECURITIES, LLC",0181
HILLTOP SECURITIES INC.,0279
HOLD BROTHERS CAPITAL LLC,0430
"HOME FEDERAL BANK OF TENNESSEE, F.S.B.",2425
HONG KONG SECURITIES CLEARING COMPANY LIMITED,2338
HRT FINANCIAL LP,0369
"HSBC BANK USA, NATIONAL ASSOCIATION",2165
HSBC SECURITIES (USA) INC.,0816
HSBC SECURITIES (USA) INC. (FIXED INCOME),0486
"ICE SECURITIES EXECUTION & CLEARING, LLC",4264
IFAST SECURITIES US CORPORATION,1823
ING FINANCIAL MARKETS LLC,0270
"INGALLS & SNYDER, LLC",0124
"INSTINET, LLC",0067
INTERACTIVE BROKERS LLC,0017
INTERCHANGE CLEARING LLC,3036
INTESA SANPAOLO IMI SECURITIES CORP.,0136
"INVESCO CAPITAL MARKETS, INC.",0692
"ITAU BBA USA SECURITIES, INC.",8113
J.P. MORGAN SECURITIES LLC,0187
"JANE STREET CAPITAL, LLC",8497
"JANE STREET EXECUTION SERVICES, LLC",3492
JANNEY MONTGOMERY SCOTT LLC,0374
"JAPAN SECURITIES DEPOSITORY CENTER, INC.",5600
JEFFERIES LLC,0019
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",0902
JPMORGAN CHASE BANK - ADR,0923
JPMORGAN CHASE-ADR MAX,2334
JPMORGAN CHASE-FIMAT CU,2945
JUMP TRADING LLC,2793
KEYBANK NATIONAL ASSOCIATION,2205
KEYBANK SAFEKEEPING,0557
LAKESIDE BANK,2545
LPL FINANCIAL LLC,0075
"LUCID CAPITAL MARKETS, LLC DBA AMERICAS EXECUTIONS",3652
MACQUARIE CAPITAL (USA) INC.,0114
MANUFACTURERS AND TRADERS TRUST COMPANY,0990
MAREX CAPITAL MARKETS INC.,8873
MARKETAXESS CAPITAL LIMITED,4302
MARKETAXESS CORPORATION,4265
MATRIX TRUST COMPANY,5954
"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",0671
MERRILL LYNCH PIERCE FENNER & SMITH INC.-MLIM GLOBAL SECURITIES,7305
MID ATLANTIC TRUST COMPANY,8150
"MILLENNIUM ADVISORS, LLC",1767
"MIRAE ASSET SECURITIES (USA), INC.",1043
"MITSUBISHI UFJ TRUST & BANKING CORPORATION, NEW YORK BRANCH",2932
MIZUHO BANK (USA),2888
"MIZUHO BANK, LTD. NEW YORK BRANCH",2539
MIZUHO SECURITIES USA LLC,0892
MONTE TITOLI - S.P.A.,2008
MORGAN STANLEY & CO. INTERNATIONAL PLC,7309
MORGAN STANLEY & CO. LLC,0050
"MORGAN STANLEY BANK, N.A.",2187
"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION",2267
MORGAN STANLEY SMITH BARNEY LLC,0015
MUFG SECURITIES AMERICAS INC.,0076
MUFG SECURITIES EMEA PLC,4191
"MURIEL SIEBERT & CO., LLC",0445
M1 FINANCE LLC,1497
"NASDAQ EXECUTION SERVICES, LLC",0568
NASDAQ PHLX LLC,0237
NASDAQ TEXAS LLC,0163
NATIONAL BANK OF CANADA FINANCIAL INC.,8353
NATIONAL FINANCIAL SERVICES LLC,0226
NATIXIS SECURITIES AMERICAS LLC,0031
NATWEST MARKETS SECURITIES INC.,5263
"NOMURA SECURITIES INTERNATIONAL, INC.",0180
NSI STOCK LENDING,5180
"NUVEEN SECURITIES, LLC",0448
"NYSE ARCA, INC.",5300
OPPENHEIMER & CO. INC.,0571
OPTIONS CLEARING CORPORATION (THE),0981
OCC INTERNAL NON-PROPRIETARY CROSS MARGIN CFTC 1.20 FUTURES CUSTOMER,0912
OCC CFTC 1.20 FUTURES CUSTOMER SEGREGATED MARGIN OMNIBUS ACCOUNT,0939
"PAXOS TRUST COMPANY, NATIONAL ASSOCIATION",5855
PERSHING LLC,0443
PHILLIP CAPITAL INC.,8460
"PNC BANK, NATIONAL ASSOCIATION",2616
PNC CAPITAL MARKETS LLC,2835
PRINCIPAL BANK,2925
"PUBLIC VENTURES, LLC DBA MDB CAPITAL",3341
"RAYMOND JAMES & ASSOCIATES, INC.",0725
RJ DEALER STOCK LOAN,0594
"RBC CAPITAL MARKETS, LLC",0235
REGIONS BANK,4204
RELIANCE TRUST COMPANY,5962
ROBERT W. BAIRD & CO. INCORPORATED,0547
"ROBINHOOD SECURITIES, LLC",6769
"ROYAL BANK OF CANADA, WFC BRANCH",3350
"RQD* CLEARING, LLC",4305
S.D. INDEVAL INSTITUCION PARA EL DEPOSITO DE VALORES S.A. DE C.V.,8020
SAFRA SECURITIES LLC,8457
"SAL EQUITY TRADING, GP",3609
"SANFORD C. BERNSTEIN & CO., LLC",0013
SANTANDER US CAPITAL MARKETS LLC,0413
SCOTIA CAPITAL (USA) INC.,0096
SECURITIES FINANCE TRUST COMPANY,2047
SEI PRIVATE TRUST COMPANY,2039
"SG AMERICAS SECURITIES, LLC",0286
"SOCIETE GENERALE, NEW YORK BRANCH",1546
"SOFI SECURITIES, LLC",3664
"SOUTH STATE BANK, NATIONAL ASSOCIATION",0587
SOUTH STREET SECURITIES LLC,7451
STATE STREET BANK AND TRUST COMPANY,0997
FIDUCIARY SSB,0987
SSB-PHYSICAL CUSTODY SERVICES,2193
SSB - TRUST CUSTODY,2319
SSB - BANK PORTFOLIO,2436
SSB - BLACKROCK INSTITUTIONAL TRUST,2767
"STATE STREET BANK AND TRUST COMPANY, N.A.",2386
"STATE STREET GLOBAL MARKETS, LLC",0189
"STIFEL, NICOLAUS & COMPANY, INCORPORATED",0793
STONEX FINANCIAL INC.,0750
SUMITOMO MITSUI TRUST BANK (U.S.A.) LIMITED,2779
SYNOVUS BANK,2578
"TCBI SECURITIES, INC.",3833
TD PRIME SERVICES LLC,0284
TD SECURITIES (USA) LLC,0100
TEXAS TREASURY SAFEKEEPING TRUST COMPANY,2622
THE BANK OF NEW YORK MELLON,0901
"THE BANK OF NEW YORK MELLON TRUST COMPANY, NATIONAL ASSOCIATION",2438
"THE BANK OF NOVA SCOTIA, NEW YORK AGENCY",2347
THE CENTRAL DEPOSITORY (PTE) LIMITED,5700
THE HUNTINGTON NATIONAL BANK,2305
THE NASDAQ STOCK MARKET LLC,0734
THE NORTHERN TRUST COMPANY,2669
NORTHERN TRUST COMPANY - SAFEKEEPING,2684
THE TEL-AVIV STOCK EXCHANGE CLEARING HOUSE LTD,2015
TP ICAP GLOBAL MARKETS AMERICAS LLC,0148
"TRADEBOT SYSTEMS, INC.",0083
TRADELINK SECURITIES LLC,4230
"TRADESTATION SECURITIES, INC.",0271
"TRADEUP SECURITIES, INC.",0287
TRADITION SECURITIES AND DERIVATIVES LLC,0370
TRUIST BANK,2971
"TRUIST SECURITIES, INC.",2095
TZ CLEAR LLC,0712
"U.S. BANCORP INVESTMENTS, INC.",0280
U.S. BANK N.A.,2803
"UBS AG, STAMFORD BRANCH",0979
UBS FINANCIAL SERVICES INC.,0221
UBS SECURITIES LLC,0642
"UMB BANK, NATIONAL ASSOCIATION",2450
"UMB BANK, INVESTMENT DIVISION",2451
UNION BANK & TRUST COMPANY,2067
VANGUARD MARKETING CORPORATION,0062
VELOCITY CAPITAL LLC,6019
"VELOCITY CLEARING, LLC",0294
VELOX CLEARING LLC,3856
VIRTU AMERICAS LLC,0295
VISION FINANCIAL MARKETS LLC,0595
"WACHTEL & CO., INC.",0709
WEDBUSH SECURITIES INC.,0103
"WELLS FARGO BANK, NATIONAL ASSOCIATION",2027
WELLS FARGO CLEARING SERVICES LLC,0141
"WELLS FARGO SECURITIES, LLC",0250
"WESBANCO BANK, INC.",2271
"WILLIAM BLAIR & COMPANY, L.L.C.",0771
"WILSON-DAVIS & CO., INC.",0283
"WOLVERINE EXECUTION SERVICES, LLC",7350
"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",2104
"ZIONS DIRECT, INC.",0065
ZIV INVESTMENT CO.,8082
